RatingId,UserId,UrbanTreasureId,RatingValue,CreatedAt
1,5,1,5,11/10/2024 2:35:06 PM
2,5,1,2,8/1/2024 2:35:06 PM
3,5,1,3,12/14/2024 2:35:06 PM
4,7,1,4,6/17/2024 2:35:06 PM
5,4,1,1,1/13/2025 2:35:06 PM
6,3,1,4,8/8/2024 2:35:06 PM
7,7,1,2,3/14/2025 2:35:06 PM
8,4,1,1,5/21/2024 2:35:06 PM
9,6,1,3,8/21/2024 2:35:06 PM
10,1,1,3,5/2/2024 2:35:06 PM
11,5,1,4,7/15/2024 2:35:06 PM
12,6,1,3,2/10/2025 2:35:06 PM
13,3,1,4,3/28/2025 2:35:06 PM
14,3,1,5,5/1/2024 2:35:06 PM
15,1,1,3,9/20/2024 2:35:06 PM
16,3,1,2,5/29/2024 2:35:06 PM
17,1,1,5,9/1/2024 2:35:06 PM
18,6,1,1,5/14/2024 2:35:06 PM
19,4,1,3,1/2/2025 2:35:06 PM
20,3,1,3,5/7/2024 2:35:06 PM
21,4,1,3,11/9/2024 2:35:06 PM
22,5,1,2,8/31/2024 2:35:06 PM
23,5,1,1,10/3/2024 2:35:06 PM
24,2,1,4,6/21/2024 2:35:06 PM
25,1,1,4,7/3/2024 2:35:06 PM
26,6,1,4,2/23/2025 2:35:06 PM
27,1,1,5,7/21/2024 2:35:06 PM
28,3,1,3,8/27/2024 2:35:06 PM
29,1,1,3,5/11/2024 2:35:06 PM
30,2,1,3,10/23/2024 2:35:06 PM
31,5,1,5,2/1/2025 2:35:06 PM
32,6,1,2,4/30/2024 2:35:06 PM
33,2,1,4,12/10/2024 2:35:06 PM
34,7,1,5,9/1/2024 2:35:06 PM
35,6,1,2,10/29/2024 2:35:06 PM
36,1,1,5,10/5/2024 2:35:06 PM
37,2,1,2,8/23/2024 2:35:06 PM
38,2,1,1,4/8/2024 2:35:06 PM
39,2,1,3,6/14/2024 2:35:06 PM
40,6,1,1,10/5/2024 2:35:06 PM
41,5,1,4,10/20/2024 2:35:06 PM
42,3,1,4,1/12/2025 2:35:06 PM
43,5,1,2,12/23/2024 2:35:06 PM
44,7,1,2,4/22/2024 2:35:06 PM
45,7,1,4,2/25/2025 2:35:06 PM
46,1,1,4,7/24/2024 2:35:06 PM
47,1,1,1,8/29/2024 2:35:06 PM
48,3,1,2,4/5/2024 2:35:06 PM
49,2,1,1,3/31/2024 2:35:06 PM
50,2,1,5,8/26/2024 2:35:06 PM
51,6,1,5,12/17/2024 2:35:06 PM
52,1,1,2,12/29/2024 2:35:06 PM
53,6,1,5,1/30/2025 2:35:06 PM
54,5,1,3,11/3/2024 2:35:06 PM
